ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;AGO;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2566,461
1990;ABR;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;1335,412
1990;JUL;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2794,825
1990;MAI;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;1798,599
1990;ABR;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;1427,205
1990;MAR;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2269,332
1990;FEV;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2000,092
1990;JAN;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;3045,873
1990;DEZ;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;546,851
1990;NOV;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;912,514
1990;JUN;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2492,736
1990;MAR;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;807,325
1990;SET;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;610,369
1990;OUT;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;429,254
1990;JUN;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;75867,971
1990;FEV;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;585,397
1990;JAN;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;713,3
1990;DEZ;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;12886,007
1990;NOV;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;16419,354
1990;OUT;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;15000,534
1990;SET;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;12676,087
1990;AGO;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;11323,968
1990;JUL;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;13764,159
1990;MAI;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;8629,946
1990;JUL;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;570,082
1990;ABR;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;15992,632
1990;MAR;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;11708,482
1990;FEV;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;17791,872
1990;JAN;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;10715,463
1990;DEZ;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;680,6
1990;NOV;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;1208,46
1990;MAR;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;5169,931
1990;FEV;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;1027,991
1990;JUL;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;6024,755
1990;DEZ;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;5356,782
1990;OUT;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3922,561
1990;NOV;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;5029,967
